software,nprocs,n,time,memory
rusty_tree_py,32,500000,16.56,742044
rusty_tree_py,16,500000,13.07,689996
rusty_tree_py,8,500000,11.26,701404
rusty_tree_py,4,500000,09.13,474344
rusty_tree_py,2,500000,09.15,364868
rusty_tree,32,500000,15.60,276824
rusty_tree,16,500000,11.42,230772
rusty_tree,8,500000,09.05,259160
rusty_tree,4,500000,08.29,253884
rusty_tree,2,500000,07.88,326840
dendro,32,500000,09.30,330384
dendro,16,500000,05.72,325584
dendro,8,500000,04.08,325996
dendro,4,500000,03.35,323236
dendro,2,500000,02.80,321096
